STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
NITA,NUEVA ITALIA,19.020738,-102.085089,seismic,Stations_UNAM,ROCA,0.01375,0.034309,0.039993,0.022881,0.0,0.0,0.0,0.0,0.01375,0.034309,0.035431,0.022881,0.013085,0.02259,0.039993,0.014209,0.00943,0.022515,0.013297,0.007207,,,,,,,,
SMLC,SAN MARTIN LOS CANSECO,16.654971,-96.729233,seismic,Stations_UNAM,ROCA,0.01289,0.023248,0.028177,0.016651,0.0,0.0,0.0,0.0,0.01289,0.019847,0.023348,0.016651,0.008561,0.023248,0.028177,0.01644,0.008447,0.015222,0.013624,0.013505,,,,,,,,
VNTA,LA VENTA,16.91426,-99.81885,seismic,Stations_UNAM,ROCA,0.012847,0.021734,0.024109,0.011098,0.0,0.0,0.0,0.0,0.010289,0.018794,0.010257,0.011098,0.010637,0.021734,0.024109,0.010916,0.012847,0.012691,0.009276,0.009227,,,,,,,,
SLU2,SAN LUIS DE LA LOMA 2,17.280802,-100.935496,seismic,Stations_UNAM,ROCA,0.01199,0.014358,0.010221,0.006357,0.0,0.0,0.0,0.0,0.01199,0.014147,0.008461,0.006357,0.011571,0.014358,0.010221,0.005272,0.010158,0.011663,0.006322,0.004759,,,,,,,,
OZST,ORIZABA ESCUELA SECUNDARIA TECNICA NUM. 84,18.860758,-97.094119,seismic,Stations_UNAM,SUELO BLANDO,0.011419,0.02176,0.023654,0.02821,0.0,0.0,0.0,0.0,0.011419,0.02176,0.018567,0.02821,0.010257,0.015569,0.019524,0.019996,0.00716,0.017356,0.023654,0.007067,,,,,,,,
COPL,COPALA,16.61081,-98.98399,seismic,Stations_UNAM,ROCA,0.010718,0.021321,0.017629,0.015018,0.0,0.0,0.0,0.0,0.010497,0.021321,0.017629,0.010789,0.010718,0.02087,0.015628,0.015018,0.006306,0.017737,0.011739,0.010664,,,,,,,,
PET2,PETATLAN II,17.535396,-101.262608,seismic,Stations_UNAM,ROCA,0.010051,0.021636,0.008498,0.006675,0.0,0.0,0.0,0.0,0.009836,0.019918,0.008498,0.006675,0.010051,0.021636,0.008308,0.005444,0.007142,0.012954,0.005987,0.004559,,,,,,,,
OXJM,JALAPA DEL MARQUES,16.445191,-95.444705,seismic,Stations_UNAM,ROCA,0.010005,0.023748,0.03347,0.021123,0.0,0.0,0.0,0.0,0.010005,0.023748,0.023055,0.021123,0.009917,0.022196,0.03347,0.019767,0.005373,0.011555,0.013255,0.009406,,,,,,,,
CANA,LAS CANAS,18.567007,-101.977162,seismic,Stations_UNAM,ROCA,0.009235,0.01954,0.01217,0.009706,0.0,0.0,0.0,0.0,0.009144,0.01954,0.01073,0.006699,0.009235,0.014982,0.008045,0.005421,0.007872,0.01552,0.01217,0.009706,,,,,,,,
NUX2,NUXCO 2,17.216711,-100.79117,seismic,Stations_UNAM,ROCA,0.009051,0.012426,0.007964,0.006084,0.0,0.0,0.0,0.0,0.006492,0.011836,0.007964,0.006084,0.009051,0.012426,0.007877,0.005838,0.005929,0.009814,0.00573,0.004422,,,,,,,,
XALA,XALAPA,19.529875,-96.901973,seismic,Stations_UNAM,Basalto,0.008323,0.017963,0.028325,0.016519,0.0,0.0,0.0,0.0,0.008323,0.017733,0.028325,0.016519,0.008306,0.017963,0.028072,0.010549,0.005702,0.014795,0.011952,0.01088,,,,,,,,
HUAM,HUAMELULA,16.031121,-95.670297,seismic,Stations_UNAM,ROCA,0.007622,0.03156,0.010095,0.005623,0.0,0.0,0.0,0.0,0.005868,0.025799,0.010095,0.005623,0.007622,0.03156,0.006165,0.00528,0.003647,0.011435,0.005244,0.004636,,,,,,,,
TAMA,TAMAZULAPAN,16.26116,-96.57529,seismic,Stations_UNAM,ROCA,0.007525,0.022139,0.014601,0.01154,0.0,0.0,0.0,0.0,0.007073,0.019676,0.009926,0.011153,0.007525,0.022139,0.009766,0.011538,0.005774,0.013681,0.014601,0.01154,,,,,,,,
SUCH,EL SUCHIL,17.226169,-100.638345,seismic,Stations_UNAM,ROCA,0.006646,0.014289,0.01216,0.00822,0.0,0.0,0.0,0.0,0.006621,0.014289,0.007027,0.00822,0.006646,0.013897,0.00967,0.005422,0.005711,0.010781,0.01216,0.007002,,,,,,,,
UNIO,LA UNION,17.98762,-101.810623,seismic,Stations_UNAM,ROCA,0.0061,0.017411,0.010928,0.007006,0.0,0.0,0.0,0.0,0.005037,0.013533,0.010928,0.007006,0.0061,0.017411,0.006433,0.004373,0.004756,0.0161,0.00889,0.005428,,,,,,,,
URUA,URUAPAN,19.421758,-102.074059,seismic,Stations_UNAM,ROCA,0.006059,0.009393,0.01859,0.015308,0.0,0.0,0.0,0.0,0.006059,0.009393,0.01859,0.011443,0.004739,0.009374,0.013502,0.015308,0.00256,0.006199,0.007183,0.003363,,,,,,,,
NILT,NILTEPEC,16.565153,-94.616947,seismic,Stations_UNAM,ROCA,0.005981,0.008484,0.005108,0.003933,0.0,0.0,0.0,0.0,0.005981,0.008484,0.005108,0.003933,0.004922,0.004368,0.004434,0.00369,0.001889,0.003669,0.00327,0.003696,,,,,,,,
LANE,LAS NEGRAS,15.947684,-97.187204,seismic,Stations_UNAM,ROCA SEDIMENTARIA,0.005829,0.019989,0.012461,0.009037,0.0,0.0,0.0,0.0,0.005188,0.011639,0.007148,0.008956,0.005829,0.019989,0.012461,0.009037,0.003436,0.00721,0.007604,0.007733,,,,,,,,
MIHL,MINATITLAN ESCUELA HIJAS DE LERDO,17.988778,-94.54387,seismic,Stations_UNAM,BLANDO,0.005207,0.01779,0.010361,0.011134,0.0,0.0,0.0,0.0,0.004472,0.01779,0.010361,0.011134,0.005207,0.012883,0.010009,0.009745,0.002708,0.00536,0.006661,0.005378,,,,,,,,
PANG,PUERTO ANGEL,15.666837,-96.490506,seismic,Stations_UNAM,ROCA SEDIMENTARIA,0.004687,0.006219,0.005183,0.005027,0.0,0.0,0.0,0.0,0.00368,0.006219,0.004731,0.004896,0.004687,0.005363,0.00422,0.005027,0.003317,0.004844,0.005183,0.003678,,,,,,,,
SLPA,SAN LUCAS PATHE,19.928698,-99.833027,seismic,Stations_UNAM,ROCA,0.004488,0.008993,0.00837,0.008788,0.0,0.0,0.0,0.0,0.004488,0.008993,0.00837,0.006364,0.003914,0.008644,0.008052,0.008788,0.003232,0.006134,0.007141,0.007662,,,,,,,,
ACAM,ACAMBARO,20.043186,-100.716777,seismic,Stations_UNAM,ROCA,0.004479,0.005216,0.006579,0.008567,0.0,0.0,0.0,0.0,0.003632,0.005216,0.006579,0.006909,0.004479,0.005047,0.006387,0.008567,0.002186,0.003309,0.005915,0.003957,,,,,,,,
SCRU,SALINA CRUZ,16.187519,-95.209239,seismic,Stations_UNAM,ROCA,0.004176,0.011305,0.008909,0.013218,0.0,0.0,0.0,0.0,0.004176,0.008399,0.006846,0.013218,0.003078,0.011305,0.008909,0.007258,0.002251,0.006674,0.003618,0.006633,,,,,,,,
