custom_site_id,lon,lat,vs30,vs30measured,z1pt0,z2pt5
t_9190,-99.69462,20.20412,371.0,False,390.2064,1.37832
t_9191,-99.74263,20.20484,458.0,False,281.66001,1.08314
t_9192,-99.79065,20.20555,330.0,False,433.01662,1.57592
t_9193,-99.83867,20.20624,288.0,False,467.65789,1.84149
t_9194,-99.45369,20.24562,372.0,False,389.0669,1.37408
t_9195,-99.50172,20.24641,372.0,False,389.0669,1.37408
t_9196,-99.54975,20.2472,548.0,False,174.47416,0.88216
t_9197,-99.59778,20.24796,561.0,False,161.2376,0.85882
t_9198,-99.64581,20.24871,507.0,False,220.47121,0.96424
t_9199,-99.69384,20.24945,464.0,False,273.95191,1.06713
t_9200,-99.74188,20.25017,364.0,False,398.06779,1.40868
t_9201,-99.78991,20.25088,393.0,False,364.28917,1.29041
t_9202,-99.83795,20.25157,329.0,False,433.95555,1.5814
t_9203,-100.65819,19.89837,330.0,False,433.01662,1.57592
t_9204,-100.7061,19.89878,515.0,False,211.0356,0.94712
t_9205,-100.32225,19.94035,461.0,False,277.80189,1.07508
t_9206,-100.37017,19.94087,791.0,False,33.1211,0.5797
t_9207,-100.4181,19.94138,451.0,False,290.6857,1.10239
t_9208,-100.46603,19.94187,462.0,False,276.51759,1.07242
t_9209,-100.51395,19.94235,465.0,False,272.67065,1.0645
t_9210,-100.56188,19.94281,688.0,False,68.92466,0.68001
t_9211,-100.60981,19.94326,675.0,False,75.51819,0.69501
t_9212,-100.65774,19.94369,576.0,False,146.84688,0.83328
t_9213,-100.70567,19.9441,882.0,False,17.49162,0.5118
t_9214,-100.32168,19.98567,727.0,False,52.26928,0.63844
t_9215,-100.36963,19.98619,755.0,False,42.8069,0.61142
t_9216,-100.41757,19.9867,607.0,False,120.17227,0.78478
t_9217,-100.46551,19.98719,333.0,False,430.16771,1.55969
t_9218,-100.51346,19.98767,356.0,False,406.79224,1.44496
t_9219,-100.5614,19.98813,336.0,False,427.27108,1.54377
t_9220,-100.60935,19.98858,720.0,False,54.94042,0.64554
t_9221,-100.65729,19.98901,607.0,False,120.17227,0.78478
t_9222,-100.70523,19.98943,591.0,False,133.42253,0.80913
